title,user_id,score,comment,u_id
가지산 입석대,김호영(황소바위),5,,0
가지산 입석대,기회란,4,,1
가지산 입석대,손영진(산동무),5,,2
가지산,여름햇살,5,"계단과 가파른 길이 많아 힘은 들지만 정상에서 바라보는 영남알프스의 풍경 값으로는 치를만한 가치가 있습니다. 단, 석남터널에서 오르는 초입의 계단은 단 사이의 간격이 너무 높아 오를 때는 문제가 없지만, 원점회귀하는 등산객들에게는 무리가 있습니다.",3
가지산,Jayen Yang,5,"등린이 13번째 산행 다녀왔습니다.
영알! 영남 알프스!  밀양 가지산(100대 명산)을 다녀왔습니다. 코스는 석남터널에서 시작하여 등린이들도 어렵지않게 산행가능합니다.…",4
가지산,최정혜,4,"상양마을에서 올라가는 코스를 잡았구요.
마을에 주차장(십여대주차가능) 및 경로당화장실 이용이 가능했구.정상이나 올라가는 도중에 이용할만한 화장실은 없습니다.
올라가는도중 예쁜풍경들이 많았는데…",5
가지산,이창환,4,"가지산(1,240m)은 울산광역시 울주군과 경상남도 밀양시, 경상북도 청도군의 경계에 있는 산이다.
1979년 11월 5일에 도립공원으로 지정되었다. 동쪽 산기슭에는 신라 헌덕왕 16년에 도의국사가 창건했다는 석남사가 자리 잡고 있다,",6
가지산,TaeHwa Kwon,3,영남날프스 산중에 겨울 눈을 제일 자주 볼수 있는 산..,7
가지산,김원선,5,"100대명산 1240m
서울에서 당일코스로 들머리 고지700m 석남터널 우쯕으로
날머리석남사주차장…",8
가지산,J.K. Cho,4,울산 울주군 영남 알프스의 시작이자 태백산맥의 끝자락에 위치해 있는 1241m의 아름다운 산. 짧게는 석남터널쪽에서 오르거나 길게 밀양 얼음골방면 등산로을 이용하면 좋음,9
가지산,Terry Kang,5,"영남알프스 가지산.
높이는 1,241m이다. BAC명산 100.
석남터널 입구에 주차를 하고 오른다.…",10
가지산,taehee won,4,"영남알프스..
석남터널에서 가지산 정상 왕복 까지 4시간..
주변의 아름다운 산을 구경할수 있다.",11
가지산,이경규,4,"영남알프스 대표산. 1,241m로 영남알프스 1천미터이상 8산중 가장 높음. 옆에 상운산도 하산코스에 들러보는곳.",12
가지산,GT Cha,5,"낮다고 평할 수 없는 1240미터의 높이의 가지산 정상에는 사람들의 모습이 가득하다.  이렇게 정상에 도달한 사람들의 느낌은 무엇일까!
가슴이 탁트이는 웅장한 산세의 아름다움과 이렇게 정상에 섰다는 기쁨 그리고 땀 흘리며 몇번이고 정상이 얼마나 남았을까 되물으면서도 포기하지 않은 자신에 대한 뿌듯함이 아닐까!  왜 가지산일까?  아마도 가지가지의 생각을 더해 사람의 덕목을 키워주는 대장봉의 기쁨을 느낄수 있는 산이기…",13
가지산,Hyeoung do Kim,4,"영남알프스의 최고봉 해발1,240m.
낙동정맥 중 하나의 멋진 산.
귀바위, 쌀바위도 등산 중 볼거리입니다.",14
가지산,박철호,4,신불산 재약산과 비교할때 그나마 오르기가 수월한 곳... 수월한 능선길과 칼바람이 기억에 남음...중봉에서 바라보는 산정상,15
가지산,구름구름,4,"⛰상양복지회관 뒤 주차장(무료)~아랫재~운문산 정상~아랫재~가지산정상~석남터널(밀양방향)
🏃‍♀️약 12.8km
⏰ 6시간38분(휴식+점심 포함)…",16
가지산,Namsook Chung,5,"정상에서 바라본 우람한 산 봉우리,
맑은 하늘의 구름,
살며시 핀 억새,
옛날 시골집 마당의 빗자루 사리나무,",17
가지산,김현수,3,"수차례 걸쳐 가까운 산행으로 사랑하는 가지산.
오랜만에 야간 산행을 다녀왔네요. 확실히 정상은 추워요.
단단히 준비해서 산행 필요합니다.…",18
가지산,YOUNGKWANG KIM,5,"눈 왔다는 소식 듣고 다녀온 가지산..
역시나 설산은 최고입니다.",19
가지산,김용술,3,"눈이 귀한 울산, 눈 내린 가지산도 멋져요.",20
가지산,바람따라서,5,100대명산 영남알프스 가지산.그옆에 상운산,21
가지산,나마늘 (마늘),4,영남알프스에 있는 산.,22
가지산,jounghun ha,4,"경치가 훌륭했어요 날씨가 너무 좋왔구여
재방문의사 있습니다",23
가지산,제이오오엔,5,"석남 터널에서 1시간이면 정상까지 가능!
영알에서 가장 높은 봉우리
올라갈수록 발목 돌아가기 좋은 돌들이 좀 있으니 조심하도록!!",24
가지산,조봉규,5,가지산 중봉 전망좋은  곳,25
가지산,Sang Wook Han,5,탄성만이...,26
가지산,MyungIl Woo,5,철쭉이 너무 아름다운 산.,27
가지산,Dongman Lee,5,"1240m, 울산울주, 청도 영남알프스
6시간 내외의 산행시간",28
가지산,최상진,5,언양에서옛날길을넘어가서조금더가면가지산올라가는곳이나오지요,29
가지산,김영제,5,영남알프스 9봉중 제일높은산,30
가지산,David Kim,5,풍경 예쁨,31
가지산,Zorbar,5,지난 겨울 눈내리는 가지산을 많이도 다녀 왔습니다.,32
가지산,백경환,5,ㅇ,33
가지산,Ian Jeff,5,최고 조망의 영알 멤버,34
가지산,이종국,4,기후가 고르지 못하다,35
가지산,녹색걷기,5,"석남사 가지산 연말회귀 등산
2015.12.06 20:12",36
가지산,김태수,5,조망이 좋음,37
가지산,Sunpil Kong,5,예뻐요 굿굿,38
가지산,배종명,5,10회정도  산행 했어요,39
가지산,RV,5,This is an incredible mountain to climb with well marked trails. I would only rate it as moderate difficulty due to the incline. The 360 views from the top are truly breathtaking. You can pretty easily catch the bus from the Ulsan ktx station to get here and back. I would recommend doing this if you are in nearby Busan.,40
가지산,John Walters,5,"If you enter via the path outside the temple it is a better hike up.  Bring a lunch and water because it is a taxing at least 4 hour round trip climb. On the mountain there are two shanties that sell food and drink seasonally, one on the…",41
가지산,정지연,5,,42
가지산,Damir Kairzhanov,5,Very beautiful place!,43
가지산,천용해,5,,44
가지산,INJONG,5,,45
가지산,MYEONG GWANG CHOI,5,,46
가지산,25사단정비대,5,,47
가지산,박원복,5,,48
가지산,율리시스,5,,49
가지산,김여송,4,,50
가지산,SeungKi Shin,4,,51
가지산,김주엽,5,,52
가지산,한상철,4,,53
가지산,Sofea Imani,5,,54
가지산,Shin신미애,1,,55
가지산,Byeong in Jeong,5,,56
가지산,유현기,1,,57
가지산,박찬성,5,,58
가지산,Donghee Lee,5,,59
가지산,Ikseong Kim,4,,60
가지산,54 12,4,,61
가지산,박영석,3,,62
가지산,권용민,5,,63
가지산,H K,1,,64
가지산,jingeun kim,5,,65
가지산,Cartoon Campus,4,,66
가지산,이용희,4,,67
가지산,kyunng jun jang,4,,68
가지산,Bike600,5,,69
가지산,이건목,5,,70
가지산,윤명원,5,,71
가지산,홍성식,5,,72
가지산,최선종,4,,73
가지산,피리,5,혼산 일출~,74
가지산,배성룡,5,,75
가지산,장재영,5,경치좋고절 주차장 왕복하면 3-4시간코스.난이도가 있으니 가볍게 생각하시지마시길.,76
가지산,JW,5,"석남사 종점에서 출발해 2시간 소요가지산장에서 맛있는 라면과 두부, 막걸리까지!+ 중봉 근처부터는 바람 때문에 체감온도가 많이 떨어지니 추위에 약하신분은 미리 준비하시는게 좋을 것 같습니다",77
가지산,오 예,3,중간에   매점이라니  대박,78
가지산,윤재호,5,정상에서 멈추지  마시고 쌀바위까지 가셔서 시원한 약수 꼭 드세요~,79
가지산,푸른물결,4,영남알프스,80
가지산,부산시민,5,영남알프스 9봉도전 첫봉2021년 4월29일 등반최단코스석남터널입구ㅡ석남고개ㅡ중봉ㅡ가지산정상물병세우고 셀카찍음평일에가서 라면 못먹음 배고파츰ㅜㅜjs 너의 꿈은 이뤄질테니 굳건하게 나가라!!참고로 js는 나임 ㅋㅋㅋㅋㅋ 가즈아~~,81
가지산,선영맘🍀,5,,82
가지산,김호영(황소바위),5,,0
가지산,heart,5,"등산 초보자에게는 힘들 수 있는 산이지만, 멋진 산이다.",83
가지산,오전필,5,,84
가지산,대한민인,5,,85
가지산,Ryu용환,4,울산 12경 가지산 사계,86
가지산,이양우,4,울산12경의 하나인 가지산!특히 겨울설경이 장관이고 이달말부터 이월까지는 연중 가장 많이 붐비는 때입니다.이 부근에서 이번겨울에 처음으로 보는 설겨이네요! 아직 눈이 많이 온 것은 아니며 정상부근과 석남사나 쌀바위는 딴 세상 같네요!,87
가지산온천,알로엄마,4,건물이 오래되었지만 물은 최고 라고 생각한다,88
가지산온천,이호진,4,시설은 좀 낙후되었지만 요금이 저렴하고 주차가 편하고 무엇보다 물이 좋습니다,89
가지산온천,흐르는강물처럼,4,시설은 낧았으나 사람이적어 여유있게 목욕함,90
가지산온천,송은정,4,"석남사를 다녀오면서 들렀던 탄산온천이였어요.
물은 너무좋았는데..
매표하시는 분이 불친절하고…",91
가지산온천,이정부,5,국가정원호수길 전기차타보고 스카이 전동차로 순천만왕복 식사는 순천만 식당이용 명품식당 최고추천,92
가지산온천,장복길,3,물은 정말 좋은데 시설이 열악합니다… 노후화가 넘 심함,93
가지산온천,독바위,3,물은 좋은데 시설이 너무 노화됐습니다,94
가지산온천,하경주,3,"물은조으나
청결상태는쾅",95
가지산온천,jonguk kim,4,"물 좋아요

시설은 노후~~~ㅠㅠ",96
가지산온천,J.S Kim,1,"청소 좀 해요
바닥이 미끄러워 넘어질 듯",97
가지산온천,섬여행,2,시설이 오래되고 청소 상태도 불량함,98
가지산온천,* “‪WALK THIS WAY‬” PIL,3,"시설 노후화되고
고장나서 숩지안타",99
가지산온천,안진석,4,시설은 많이 노후화 되었지만 물은 좋네요. 운문산자연휴양림 갔다가 들리는 코스로 방문했네요,100
