place_id,user_id,score,comment
스타벅스 울산호계DT점,L. 205,3.0,매장은 깔끔하고 주차하기 편함. 맛은 그냥 평범
스타벅스 울산호계DT점,여행하는흰둥이,5.0,"항상 만족하는 스타벅스이다.
어느지점을 가던 항상 같은 커피의 맛이 좋다. 아는 맛을 내어주어 만족한다.
재방문.…"
스타벅스 울산호계DT점,김체어멘!!!,3.0,"주차면이 울산에서는 가장많은것같고 특히7번국도
변이라 경주방면으로 출퇴근 및 경주로갈때 많이 활용될거같음"
스타벅스 울산호계DT점,김소연,2.0,"다른 지점보다 커피맛 없어요.
진짜 다른지점보다 커피맛 없어요.
같은 체인점인데 맛이 없어요
입구에 들어갔을때 직원이 쇼파에서 쉬고있었어요."
스타벅스 울산호계DT점,PHILKYU JANG,5.0,직원은 친절하고 매장은 조용한 편입니다. 공부하기 좋네요.
스타벅스 울산호계DT점,최근아,4.0,"매장은쾌적합니다 화장실도깨끗햇구요
다만 2층에서 어린애들은 막 뛰어놀고 엄마들은 내버려두고있더군요
놀이터인줄.."
스타벅스 울산호계DT점,천정숙,4.0,"친절하고 감사했어요
잘 쓸께요
집에도. 많이. 있지만. 가지고 싶었어요"
스타벅스 울산호계DT점,서자영,5.0,가격대비 맛좋아요 쏨땀주문시 고수싫어하시는분은 빼달라고 해요
스타벅스 울산호계DT점,두부마미,5.0,"주차하기편하고코로나로열체크큐알코드체크인까지.음료주문시빨리나오고좋아요.
신제품아이스헤이즐넛오트밀쇼콜라.
달달하니아침에당충전에굿."
스타벅스 울산호계DT점,Raban Clayton,3.0,큰 길에 위치해있어서 웬만하면 차 없이 들리기 힘든 곳이지만 동네에 유일한 스타벅스라 자주 갑니다. 유일한 스타벅스라서 자주 이용하는 곳일 뿐 음료의 퀄리티는 다른 매장에 비해 확연히 떨어집니다. 아메리카노는 괜찮으나 (물 맛이 좌우하는듯) 다른 음료는 전반적으로 퀄리티가 별로. 다른 매장은 이용시간이 10시까지라면 10시까지 고객을 기다려주는걸로 아는데 여기는 마감이 다되어가면 엄청나게 눈치를 줍니다. 또한 파트너마다…
스타벅스 울산호계DT점,지유(이대로 지나가세요),5.0,바닐라크림케이크였나? 많이 안달고 초코맛도 조금 느껴지고 콜드브루 커피랑 먹으니 맛있네요. 엄청시원해요
스타벅스 울산호계DT점,서영우,4.0,"명촌에서 경주쪽 방면으로 가는길에 위치한 스타벅스로,
D/T 가 있다는 장점 이외에는 별다른 장점을 찾아볼 순 없다.
텀블러 등 판매하는 물품의 종류가 다양한 것도 아니고,…"
스타벅스 울산호계DT점,단무지,1.0,"최악입니다. 비싼 돈내고 좋은 서비스 받고 싶은게 고객의 작은 바램인데.
불친절하고 기분이 상하네요.
음료도 그림을 보고 메뉴를 시켰는데 전혀다른 음료가 제공되네요. 심지어 대답이 원래 그런거라고 하는군요.…"
스타벅스 울산호계DT점,Gagamel Pietro,4.0,"입간판이 없어 매장 들어가는 입구 찾기가 쉽지 않았습니다.
생각보다 차량들이 많이 주차되어 있네요."
스타벅스 울산호계DT점,dal Kang,5.0,"다른 지점에 비해 주차공간이 많고 여유로운 편이라서 매장 이용시에 좋아요. 하지만 때때로 drive-thru 이용할 때 줄이 도로까지 길게 이어질 때가 있는데, 아직 도로가 공사 중이라 위험해 보일 때가 있어요."
스타벅스 울산호계DT점,이윤경,5.0,코로나  QR코드는 확인하고  커피주문해야해서 시간 쪼금 기다려야함 어른들위한  주민등록증 확인 작성 시간단축 있습니다  ^^데이크아웃  작서없이진행되는듯합니다 ^^
