place_id,user_id,score,comment
브루센트,IM K,5.0,2층에서 콩나물 해장국 먹고 10프로 할인해주신다고 해서 들렀는데 기대보다 훨씬 인테리어가 예쁘고 커피맛 디저트맛이 뛰어난 곳이었어요!!! 특히 디저트들 가격이 다른 가게들에 비해 저렴한 편이라 다음에 디저트 먹으러 또 올 것 같아요~~~
브루센트,Gael in Korea,5.0,"디저트류가 타 카페에 비해 너무 저렴해서 좋다. 심지어 맛있네? 위치가 좀 애매한게 흠이지만 그래도 굿굿.
카페 전체적인 테이블 느낌은 공부하러 가기엔 힘들듯하다. (테이블이 낮다.)"
브루센트,레디온,4.0,"디저트가 다양하진 않지만 충분했고, 분위기는 검정이 배경인게 신기하면서 안락했고, 조용하며 크리스마스가 느껴지는 장소였어요.
위치가 애매한곳에 있어서 아는 사람 소개를 받고 가는거 말고는 처음에 찾아가기 힘들꺼 같지만, 한번 가본 이상 다시 방문해보고 싶은 좋은 장소였어요!!"
브루센트,또잉,5.0,"커피가 맛있어요 !
의자도 편해요.
주차장도 널찍해서 좋아요."
브루센트,문희승,4.0,"넓직하고 차분하고 안락한 카페.
프로페셔널하다."
브루센트,ji hea lee,5.0,분위기도 좋고 넓고 아늑하고 메뉴도 맛있고 사장님도 친절하신 카페.. 자주 애용하겠습니다 ㅎㅎ
브루센트,룰루랄라,5.0,쿠키 보다는 생크림?올려주는 바스크 치즈 케이크 진짜 맛있고 에그타르트가 엄청 바삭해요
브루센트,yun p,5.0,주차장크고 커피 케익맛있는 카페 엘베있어요
브루센트,이정식,5.0,커피진짜맛있고 케익도맛있네요
브루센트,유다희,5.0,커피 디저트 다맛나고 분위기 좋아요
브루센트,Samuel Go,5.0,
브루센트,박병한,5.0,
브루센트,박충열,5.0,
브루센트,이상석 (랜드로바),4.0,
브루센트,수홍,5.0,
브루센트,박정은,5.0,
브루센트,Rock Huh,5.0,
브루센트,아가나다라마바,4.0,
브루센트,J B,3.0,
브루센트,조선희,5.0,
브루센트,김혜진,5.0,
브루센트,이에엉,5.0,맛있고 분위기 좋아요
브루센트,나비효과,4.0,
브루센트,칀윈루,5.0,밑에 댓글 보고 티라미수 먹었는데 진짜 존맛탱... 빵이랑 크림이 따로 있어서 원래 알고 있던 티라미수는 아닌데 하튼 맛있어요 2층에서 콩나물국밥 먹으면 10프로 쿠폰도 쥼... 꿀
브루센트,콩콩,5.0,일하시는분도 엄청 친절하시고 매장도 너무 이뻐요 .. 음료도 너무맛있고 ㅠㅠㅠ 티라미수 진짜 먹어본것중 젤 최고
