,title,rate,tags,address,review_address,url
0,일산해수욕장,4.1,"해수욕장,해변",울산 동구 일산동,./review/일산해수욕장.csv,https://place.map.kakao.com/10745536
1,태화강국가정원,4.4,국가정원,울산 중구 태화동 107,./review/태화강국가정원.csv,https://place.map.kakao.com/25039682
2,대왕암공원 출렁다리,4.5,"관광,명소",울산 동구 일산동 905,./review/대왕암공원 출렁다리.csv,https://place.map.kakao.com/98916509
3,자수정동굴나라,3.3,동굴,울산 울주군 상북면 자수정로 212 (우)44952,./review/자수정동굴나라.csv,https://place.map.kakao.com/8536905
4,진하해수욕장,3.7,"해수욕장,해변",울산 울주군 서생면 진하리 307-2,./review/진하해수욕장.csv,https://place.map.kakao.com/8601041
5,대왕암,4.7,바위,울산 동구 일산동 905-7,./review/대왕암.csv,https://place.map.kakao.com/11002879
6,울산대공원,4.3,테마파크,울산 남구 대공원로 94 (우)44660,./review/울산대공원.csv,https://place.map.kakao.com/8030988
7,공업탑,4.2,"탑,비석",울산 남구 신정동 720-4,./review/공업탑.csv,https://place.map.kakao.com/17110902
8,태화강,4.4,강,울산 남구 신정동 1468,./review/태화강.csv,https://place.map.kakao.com/8621794
9,태화강국가정원 십리대숲,4.4,숲,울산 중구 태화동 636,./review/태화강국가정원 십리대숲.csv,https://place.map.kakao.com/11581806
10,장생포고래문화마을,3.7,"관광,명소",울산 남구 매암동 209-8,./review/장생포고래문화마을.csv,https://place.map.kakao.com/26435058
11,명선도,3.3,섬,울산 울주군 서생면 진하리,./review/명선도.csv,https://place.map.kakao.com/11487047
12,주전몽돌해변,4.0,"해수욕장,해변",울산 동구 주전동,./review/주전몽돌해변.csv,https://place.map.kakao.com/8069775
13,간월재,4.7,"생태보존,서식지",울산 울주군 상북면 간월산길 614 (우)44952,./review/간월재.csv,https://place.map.kakao.com/11571813
14,울산대교전망대,4.6,전망대,울산 동구 봉수로 155-1 (우)44022,./review/울산대교전망대.csv,https://place.map.kakao.com/26425406
15,슬도,4.5,섬(내륙),울산 동구 방어동,./review/슬도.csv,https://place.map.kakao.com/8443142
16,가지산,4.6,산,울산 울주군 상북면 덕현리 산 232-2,./review/가지산.csv,https://place.map.kakao.com/8118295
17,영남알프스,3.6,"관광,명소",울산 울주군 상북면 알프스온천5길 103-8 (우)44952,./review/영남알프스.csv,https://place.map.kakao.com/14541211
18,신불산,4.8,산,울산 울주군 상북면 등억알프스리 산 180,./review/신불산.csv,https://place.map.kakao.com/10524276
19,울산 대곡리반구대암각화,4.5,문화유적,울산 울주군 언양읍 대곡리 991,./review/울산 대곡리반구대암각화.csv,https://place.map.kakao.com/11816400
20,강동몽돌해변,4.0,"해수욕장,해변",울산 북구 산하동,./review/강동몽돌해변.csv,https://place.map.kakao.com/8156298
21,작천정계곡,4.0,계곡,울산 울주군 삼남읍 교동리,./review/작천정계곡.csv,https://place.map.kakao.com/8071217
22,국립신불산폭포자연휴양림,3.7,자연휴양림,울산 울주군 상북면 이천리 산 2,./review/국립신불산폭포자연휴양림.csv,https://place.map.kakao.com/736232390
23,태화강동굴피아,2.8,동굴,울산 남구 신정동 1540-4,./review/태화강동굴피아.csv,https://place.map.kakao.com/862744623
24,정자해수욕장,5.0,"해수욕장,해변",울산 북구 무룡동,./review/정자해수욕장.csv,https://place.map.kakao.com/25622489
25,나사해수욕장,2.4,"해수욕장,해변",울산 울주군 서생면 나사리,./review/나사해수욕장.csv,https://place.map.kakao.com/10200748
26,파래소폭포,4.3,폭포,울산 울주군 상북면 이천리,./review/파래소폭포.csv,https://place.map.kakao.com/8116037
27,함월루,5.0,"관광,명소",울산 중구 함월1길 7 (우)44420,./review/함월루.csv,https://place.map.kakao.com/26984946
28,철구소 계곡,4.6,계곡,울산 울주군 상북면 이천리 829,./review/철구소 계곡.csv,https://place.map.kakao.com/25086316
29,발리온천개발,2.3,온천,울산 울주군 온양읍 상발2길 34 (우)44976,./review/발리온천개발.csv,https://place.map.kakao.com/26973714
30,천황산,4.5,산,울산 울주군 상북면 이천리,./review/천황산.csv,https://place.map.kakao.com/8089427
31,간월산,4.6,산,울산 울주군 상북면 등억알프스리 산 220-3,./review/간월산.csv,https://place.map.kakao.com/8629384
32,영축산,4.0,산,울산 울주군 삼남읍 방기리 산 52,./review/영축산.csv,https://place.map.kakao.com/15174199
33,가지산온천,1.5,온천,울산 울주군 상북면 운문로 48 (우)44901,./review/가지산온천.csv,https://place.map.kakao.com/8677173
34,배내고개,0.0,고개,울산 울주군 상북면 양등리,./review/배내고개.csv,https://place.map.kakao.com/19157392
35,울주언양읍성,4.0,"산성,성곽",울산 울주군 언양읍 동부리 291,./review/울주언양읍성.csv,https://place.map.kakao.com/10570989
36,병영막창골목,4.0,먹자골목,울산 중구 남외동,./review/병영막창골목.csv,https://place.map.kakao.com/1224817552
37,고헌산,5.0,산,울산 울주군 상북면 궁근정리 산 9,./review/고헌산.csv,https://place.map.kakao.com/8696706
38,태화강국가정원 태화강전망대,3.0,전망대,울산 남구 남산로 223 (우)44621,./review/태화강국가정원 태화강전망대.csv,https://place.map.kakao.com/19237158
39,선바위,3.6,바위,울산 울주군 범서읍 구영리 1073-1,./review/선바위.csv,https://place.map.kakao.com/25039531
40,봉계한우불고기특구,0.0,먹자골목,울산 울주군 두동면 계명1길 1 (우)44914,리뷰 없음,https://place.map.kakao.com/14541077
41,와우쥬 본점,4.2,실내동물원,울산 남구 대학로 164 웰츠타워 상가2층 214호 (우)44611,./review/와우쥬 본점.csv,https://place.map.kakao.com/27464225
42,소망우체통,4.3,"관광,명소",울산 울주군 서생면 대송리 27-1,./review/소망우체통.csv,https://place.map.kakao.com/17360748
43,문수산,4.9,산,울산 울주군 청량읍 율리 산 339,./review/문수산.csv,https://place.map.kakao.com/15166438
44,강동화암주상절리,3.0,바위,울산 북구 산하동 952-1 일원,./review/강동화암주상절리.csv,https://place.map.kakao.com/8169485
45,태화강국가정원 안내센터,4.0,관광안내소,울산 중구 태화동 667 2층,./review/태화강국가정원 안내센터.csv,https://place.map.kakao.com/1909102826
46,울산디자인거리,5.0,테마거리,울산 남구 삼산동 1527-1,./review/울산디자인거리.csv,https://place.map.kakao.com/12264020
47,서생포왜성,3.3,"산성,성곽",울산 울주군 서생면 서생리 711,./review/서생포왜성.csv,https://place.map.kakao.com/7944431
48,무룡산,4.0,산,울산 북구 연암동 산 1-1,./review/무룡산.csv,https://place.map.kakao.com/7877625
49,입화산 자연휴양림,0.0,자연휴양림,울산 중구 다운동 5,리뷰 없음,https://place.map.kakao.com/1835968760
50,대왕별아이누리,4.5,테마파크,울산 동구 등대로 100 (우)44058,./review/대왕별아이누리.csv,https://place.map.kakao.com/1878241162
51,범서온천 지지워터피아,3.5,워터테마파크,울산 울주군 범서읍 두동로 704 (우)44918,./review/범서온천 지지워터피아.csv,https://place.map.kakao.com/7897055
52,울산향교,0.0,"향교,서당",울산 중구 명륜로 117 (우)44463,./review/울산향교.csv,https://place.map.kakao.com/8036086
53,간월재 억새평원,4.7,"관광,명소",울산 울주군 상북면 등억알프스리 산 181,./review/간월재 억새평원.csv,https://place.map.kakao.com/18431057
54,박상진의사 생가,4.3,"생가,고택",울산 북구 박상진5로 10 (우)44236,./review/박상진의사 생가.csv,https://place.map.kakao.com/7895004
55,편백산림욕장,5.0,자연휴양림,울산 북구 달천동 산 170,./review/편백산림욕장.csv,https://place.map.kakao.com/17706759
56,울산테마식물수목원,2.0,"수목원,식물원",울산 동구 쇠평길 33-1 (우)44001,./review/울산테마식물수목원.csv,https://place.map.kakao.com/8462734
