,Unnamed: 0,place_id,user_id,score,comment
0,0,주전몽돌해변,이재찬,5.0,오늘 해돋이 보러 울산 주전몽돌 갔다왔습니다 화장실 도 깨끗하고 좋네요 굿~~~~~
1,1,주전몽돌해변,뱃살기행,4.0,예전에 사람이 없어서 좋았는데
2,2,주전몽돌해변,김태호,3.0,좋았음
3,3,주전몽돌해변,조쉬,5.0,캠핑 명소! 화장실 깨끗하고주변 편의시설 많음
4,4,주전몽돌해변,고독한시식가,5.0,뮹이랑 첫 캠핑 너무 아늑하규 조아따 헤헤
5,5,주전몽돌해변,무궁화,4.0,시끄러운거빼면 좋네요
6,6,주전몽돌해변,머꼬,5.0,몽돌 전국 탑급거제 몽돌보다 개인적으로 괜찮은곳
7,7,주전몽돌해변,김진수,5.0,좋아요
8,8,주전몽돌해변,민주,3.0,쓰레기 아무데나 버리지마세요 다른사람들 불쾌합니다..
9,9,주전몽돌해변,행복한부자,4.0,"날씨도 좋고, 경치도 좋고.... 근데 텐트족들 진짜 많네"
10,10,주전몽돌해변,김승언,1.0,지금 전부 텐트로 꽉차고 쓰레기가 뒹굴고 난리네요 이렇게 시민의식이 바닥이라니 그냥 구경만 하고 돌아갑니다
11,11,주전몽돌해변,dtt,5.0,모래가 아니라 몽돌이라 좋아요 주말에는 길바닥 주차장되니 조심
12,12,주전몽돌해변,준,4.0,제주나 거제쪽 몽돌은 돌이 커서 누워있기 아픈데. 여기는 작아서 누우면 내몸을 알아서 감싸주는 느낌이에요. 햇빛 밭은 뒤 누우면 찜질방에 온것 같아요.작아서 별로라고 아래 어느분이 그러셨는데 저는 아담해서 더 좋더라고요.단점은 제가 갔을때는 6월 말이었는데 쓰레기 수거가 안되더군요. 그것만 개선되면 정말 좋을것 같아요. 평점은 4.5점인데 반올림해서 5점드려요.
13,13,주전몽돌해변,박충민,3.0,
14,14,주전몽돌해변,깜,3.0,거제몽돌해변만큼은 못하지만 해수욕할만 함단지 근방에 원자력발전소가 있다는게 찜찜할 뿐
15,15,주전몽돌해변,eoo,5.0,방문 후 쓰레기좀 잘 가져 가세요..
16,16,주전몽돌해변,행운,2.0,평일가면 조용해서 괜찮아요 근데  너무  작아요ㅠㅠ돌이 이쁘지만그냥 그래요^^
17,17,주전몽돌해변,고래등,5.0,여름 최고의 피서지
18,18,주전몽돌해변,현준,4.0,시원한 바람과마음이 뻥 뚫리는 기분이 좋습니다.
19,19,주전몽돌해변,Ryu용환,4.0,울산 12경 강동.주전 자갈밭
